"genus","species","scientificname","decimallatitude","decimallongitude","elevation","day","month","year","taxonkey"
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.646111,-46.618333,NA,13,4,1977,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.425556,-51.938333,850,NA,NA,NA,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.190278,-49.314167,NA,12,3,1967,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.903056,-43.2075,NA,19,3,1980,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.903056,-43.2075,800,NA,NA,NA,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.645556,-48.667778,250,NA,NA,NA,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.700278,-46.759722,NA,18,12,1942,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.646111,-46.618333,NA,1,6,1977,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.1,-52.62,NA,16,12,1964,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-29.751389,-51.143889,NA,NA,10,1941,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.92,-51.97,NA,14,3,1996,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-26.908056,-48.661667,10,NA,NA,NA,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.971944,-43.273889,NA,30,8,1967,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.654444,-46.621944,NA,20,9,1951,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.548889,-48.631667,NA,8,5,1909,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.584167,-49.635556,1000,NA,NA,NA,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-34.013001,-53.600367,NA,5,1,2022,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.556088,-48.765584,NA,27,12,2021,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.263965,-45.052474,NA,11,7,1980,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.35825,-51.9015,NA,31,8,2022,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-34.600614,-58.34968,NA,4,7,2020,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22,-42.05,1100,31,8,1989,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.608333,-47.885,NA,26,8,1995,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.883333,-46.727778,NA,14,2,1995,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.256944,-45.042222,NA,14,12,1996,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.201389,-46.857778,NA,26,6,1998,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.519444,-48.748889,630,26,7,2007,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.433333,-49.066667,890,14,7,2005,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.623333,-52.180556,273,NA,10,2008,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.327222,-44.604167,1222,16,2,2011,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.603889,-52.879444,NA,21,5,2013,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.360278,-44.786111,30,7,3,2008,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.556944,-48.679167,NA,23,2,2011,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-28.169444,-48.870278,604,17,3,2010,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-25.295556,-49.130278,980,26,8,2010,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.769167,-46.286389,927,16,2,2006,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-22.25,-44.566667,NA,6,10,1995,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-26.28,-49.14,770,2,2,2010,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-27.09,-52.47,NA,30,1,2009,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-23.896111,-46.727778,NA,14,8,1995,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.080833,-49.068056,750,29,5,2008,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.285556,-48.422778,858,30,1,2006,5571838
"Ficus","Ficus luschnathiana","Ficus luschnathiana (Miq.) Miq.",-24.265278,-48.413611,850,30,1,2006,5571838
