"sp"	"x"	"y"
"190"	"Ramphastos dicolorus"	-46.852186	-23.651509
"191"	"Ramphastos dicolorus"	-46.633309	-23.55052
"192"	"Ramphastos dicolorus"	-45.355663	-23.779034
"193"	"Ramphastos dicolorus"	-45.443921	-23.379165
"194"	"Ramphastos dicolorus"	-45.900907	-23.223701
"195"	"Ramphastos dicolorus"	-45.900907	-23.223701
"196"	"Ramphastos dicolorus"	-46.590279	-23.319505
"197"	"Ramphastos dicolorus"	-48.406944	-24.265278
"198"	"Ramphastos dicolorus"	-47.858	-25.1219
"199"	"Ramphastos dicolorus"	-48.406944	-24.265278
"200"	"Ramphastos dicolorus"	-47.858	-25.1219
"201"	"Ramphastos dicolorus"	-48.406944	-24.265278
"202"	"Ramphastos dicolorus"	-46.7213	-23.5468
"203"	"Euterpe edulis"	-47.961431	-25.132815
"204"	"Euterpe edulis"	-47.961431	-25.132815
"205"	"Euterpe edulis"	-47.961431	-25.132815
"206"	"Euterpe edulis"	-47.961431	-25.132815
"207"	"Euterpe edulis"	-47.961431	-25.132815
"208"	"Euterpe edulis"	-47.961431	-25.132815
"209"	"Euterpe edulis"	-47.961431	-25.132815
"210"	"Euterpe edulis"	-47.961431	-25.132815
"211"	"Euterpe edulis"	-47.961431	-25.132815
"212"	"Euterpe edulis"	-47.961431	-25.132815
"213"	"Euterpe edulis"	-47.961431	-25.132815
"214"	"Euterpe edulis"	-47.961431	-25.132815
"215"	"Euterpe edulis"	-47.961431	-25.132815
"216"	"Euterpe edulis"	-47.961431	-25.132815
"217"	"Euterpe edulis"	-47.961431	-25.132815
"218"	"Euterpe edulis"	-47.961431	-25.132815
"219"	"Euterpe edulis"	-47.961431	-25.132815
"220"	"Euterpe edulis"	-47.961431	-25.132815
"221"	"Euterpe edulis"	-47.961431	-25.132815
"222"	"Euterpe edulis"	-47.961431	-25.132815
"223"	"Euterpe edulis"	-47.961431	-25.132815
"224"	"Euterpe edulis"	-47.961431	-25.132815
"225"	"Euterpe edulis"	-47.961431	-25.132815
"226"	"Euterpe edulis"	-47.961431	-25.132815
"227"	"Euterpe edulis"	-47.961431	-25.132815
"228"	"Euterpe edulis"	-48.27359	-24.308775
"229"	"Euterpe edulis"	-48.27359	-24.308775
"230"	"Euterpe edulis"	-48.27359	-24.308775
"231"	"Euterpe edulis"	-48.27359	-24.308775
"232"	"Euterpe edulis"	-48.27359	-24.308775
"233"	"Euterpe edulis"	-48.27359	-24.308775
"234"	"Euterpe edulis"	-48.27359	-24.308775
"235"	"Euterpe edulis"	-48.27359	-24.308775
"236"	"Euterpe edulis"	-48.27359	-24.308775
"237"	"Euterpe edulis"	-48.27359	-24.308775
"238"	"Euterpe edulis"	-48.27359	-24.308775
"239"	"Euterpe edulis"	-48.27359	-24.308775
"240"	"Euterpe edulis"	-48.27359	-24.308775
"241"	"Euterpe edulis"	-48.27359	-24.308775
"242"	"Euterpe edulis"	-48.27359	-24.308775
"243"	"Euterpe edulis"	-48.27359	-24.308775
"244"	"Euterpe edulis"	-48.27359	-24.308775
"245"	"Euterpe edulis"	-48.27359	-24.308775
"246"	"Euterpe edulis"	-48.27359	-24.308775
"247"	"Euterpe edulis"	-47.974033	-24.141417
"248"	"Euterpe edulis"	-47.974033	-24.141417
"249"	"Euterpe edulis"	-47.974033	-24.141417
"250"	"Euterpe edulis"	-47.974033	-24.141417
"251"	"Euterpe edulis"	-47.974033	-24.141417
