"species"	"decimalLongitude"	"decimalLatitude"
"281"	"Ramphastos dicolorus"	-53.981667	-26.520718
"282"	"Ramphastos dicolorus"	-45.365944	-23.810436
"283"	"Ramphastos dicolorus"	-44.615078	-22.431982
"284"	"Ramphastos dicolorus"	-54.2645	-26.689777
"285"	"Ramphastos dicolorus"	-54.102165	-26.632334
"286"	"Ramphastos dicolorus"	-53.981667	-26.520718
"287"	"Ramphastos dicolorus"	-53.981667	-26.520718
"288"	"Ramphastos dicolorus"	-54.44127	-25.715382
"289"	"Ramphastos dicolorus"	-46.6422	-23.43104
"290"	"Ramphastos dicolorus"	-46.62658	-23.639172
"291"	"Ramphastos dicolorus"	-44.61104	-22.444906
"292"	"Ramphastos dicolorus"	-49.04254	-26.805069
"293"	"Ramphastos dicolorus"	-44.756813	-22.373522
"294"	"Ramphastos dicolorus"	-44.61104	-22.444906
"295"	"Ramphastos dicolorus"	-45.58983	-22.73724
"296"	"Ramphastos dicolorus"	-43.000057	-22.471876
"297"	"Ramphastos dicolorus"	-45.642	-22.6797
"298"	"Ramphastos dicolorus"	-44.624233	-22.406586
"299"	"Ramphastos dicolorus"	-44.756813	-22.373522
"300"	"Ramphastos dicolorus"	-45.642	-22.6797
"301"	"Ramphastos dicolorus"	-44.624233	-22.406586
"302"	"Ramphastos dicolorus"	-45.18038	-23.383797
"303"	"Ramphastos dicolorus"	-41.67319	-20.47813
"304"	"Ramphastos dicolorus"	-44.624233	-22.406586
"305"	"Ramphastos dicolorus"	-44.61104	-22.444906
"306"	"Ramphastos dicolorus"	-45.47843	-22.703138
"307"	"Ramphastos dicolorus"	-44.624233	-22.406586
"308"	"Ramphastos dicolorus"	-41.67319	-20.47813
"309"	"Ramphastos dicolorus"	-43.000057	-22.471876
"310"	"Ramphastos dicolorus"	-44.756813	-22.373522
"311"	"Ramphastos dicolorus"	-54.455452	-25.683304
"312"	"Ramphastos dicolorus"	-48.60368	-26.112127
"313"	"Ramphastos dicolorus"	-49.30782	-26.323364
"314"	"Ramphastos dicolorus"	-46.626247	-23.64444
"315"	"Ramphastos dicolorus"	-44.61104	-22.444906
"316"	"Ramphastos dicolorus"	-54.591064	-25.572186
"317"	"Ramphastos dicolorus"	-49.30782	-26.323364
"318"	"Ramphastos dicolorus"	-42.51488	-22.317019
"319"	"Ramphastos dicolorus"	-48.64196	-26.08141
"320"	"Ramphastos dicolorus"	-45.58983	-22.73724
"321"	"Ramphastos dicolorus"	-50.62254	-29.43808
"322"	"Ramphastos dicolorus"	-49.30782	-26.323364
"323"	"Ramphastos dicolorus"	-45.58983	-22.73724
"324"	"Ramphastos dicolorus"	-43.48842	-20.097742
"325"	"Ramphastos dicolorus"	-48.2985	-24.312246
"326"	"Ramphastos dicolorus"	-48.913788	-25.331142
"327"	"Ramphastos dicolorus"	-54.168785	-25.857317
"328"	"Ramphastos dicolorus"	-48.60057	-24.592888
"329"	"Ramphastos dicolorus"	-45.083	-23.425764
"330"	"Ramphastos dicolorus"	-48.74865	-25.436293
"331"	"Ramphastos dicolorus"	-45.866665	-23.633333
"332"	"Ramphastos dicolorus"	-44.732437	-22.362587
"333"	"Ramphastos dicolorus"	-44.615696	-22.432096
"334"	"Ramphastos dicolorus"	-44.624233	-22.406586
"335"	"Ramphastos dicolorus"	-45.481945	-22.689444
"336"	"Ramphastos dicolorus"	-54.455452	-25.683304
"337"	"Ramphastos dicolorus"	-44.624233	-22.406586
"338"	"Ramphastos dicolorus"	-45.064102	-23.397234
"339"	"Ramphastos dicolorus"	-42.77093	-22.450949
"340"	"Ramphastos dicolorus"	-54.455452	-25.683304
"341"	"Ramphastos dicolorus"	-54.455452	-25.683304
"342"	"Ramphastos dicolorus"	-54.438286	-25.642454
"343"	"Ramphastos dicolorus"	-44.61104	-22.444906
"344"	"Ramphastos dicolorus"	-44.615696	-22.432096
"345"	"Ramphastos dicolorus"	-44.615696	-22.432096
"346"	"Ramphastos dicolorus"	-44.615696	-22.432096
"347"	"Ramphastos dicolorus"	-44.615696	-22.432096
"348"	"Ramphastos dicolorus"	-44.615696	-22.432096
"349"	"Ramphastos dicolorus"	-44.61104	-22.444906
"350"	"Ramphastos dicolorus"	-55.8	-26.51667
"351"	"Ramphastos dicolorus"	-55.51667	-26.35
"352"	"Ramphastos dicolorus"	-48.083333	-12.483333
"353"	"Ramphastos dicolorus"	-48.083333	-12.483333
"354"	"Ramphastos dicolorus"	-48.083333	-12.483333
"355"	"Ramphastos dicolorus"	-48.083333	-12.483333
"356"	"Ramphastos dicolorus"	-48.083333	-12.483333
"357"	"Ramphastos dicolorus"	-48.083333	-12.483333
"358"	"Ramphastos dicolorus"	-48.083333	-12.483333
"359"	"Ramphastos dicolorus"	-48.083333	-12.483333
"360"	"Ramphastos dicolorus"	-48.083333	-12.483333
"361"	"Ramphastos dicolorus"	-48.083333	-12.483333
"362"	"Ramphastos dicolorus"	-48.833333	-26.3
"363"	"Ramphastos dicolorus"	-51.333333	-24.583333
"364"	"Ramphastos dicolorus"	-51.333333	-24.583333
"365"	"Ramphastos dicolorus"	-54.633333	-25.983333
"366"	"Ramphastos dicolorus"	-54.633333	-25.983333
"367"	"Ramphastos dicolorus"	-47.45	-23.483333
"368"	"Ramphastos dicolorus"	-53.9	-26.466667
"369"	"Ramphastos dicolorus"	-47.633333	-24.583333
"370"	"Ramphastos dicolorus"	-53.9	-26.47
"371"	"Ramphastos dicolorus"	-53.9	-26.47
"372"	"Ramphastos dicolorus"	-53.9	-26.47
